Показник,Значення,Рік,Громада,Джерело
Мереж водопостачання,"627,60",2018,Вінниця,Водоканал
Мереж водовідведення та каналізації,"542,70",2018,Вінниця,Водоканал
Спожито холодної води населенням,"11172517,00",2019,Вінниця,Водоканал
Реалізовано холодної води підприємствами водопостачання,"19483315,00",2019,Вінниця,Водоканал
Втрат води в мережах,"9349140,00",2019,Вінниця,Водоканал
"Дощових стоків, котрі проходять очистку","368,00",2019,Вінниця,Водоканал
"Каналізаційних стоків, котрі проходять очистку","24201950,00",2019,Вінниця,Водоканал
Годин без холодного водопостачання внаслідок аварій,"4,00",2019,Вінниця,Водоканал
Аварій в системі холодного водопостачання,"1579,00",2019,Вінниця,Водоканал
Мереж водопостачання в аварійному стані,"169,60",2019,Вінниця,Водоканал
Годин без водовідведення та каналізації внаслідок аварій,"4,00",2019,Вінниця,Водоканал
Аварій в системі водовідведення та каналізації,"37,00",2019,Вінниця,Водоканал
Мереж водовідведення та каналізації в аварійному стані,"90,60",2019,Вінниця,Водоканал
Домогосподарств із централізованим водопостачанням,"129483,00",2019,Вінниця,Водоканал
"Осіб, котрим надається водопостачання","362972,00",2019,Вінниця,Водоканал
Спожито енергоресурсів підприємствами водопостачання,"23995000,00",2019,Вінниця,Водоканал
Каналізаційних стоків за рік,"24201950,00",2019,Вінниця,Водоканал
Мулу із каналізаційних стоків за рік,"16494,60",2019,Вінниця,Водоканал
Мереж водопостачання,"630,40",2019,Вінниця,Водоканал
Мереж водовідведення та каналізації,"548,20",2019,Вінниця,Водоканал
Спожито холодної води населенням,"10930587,00",2020,Вінниця,Водоканал
Реалізовано холодної води підприємствами водопостачання,"18291653,00",2020,Вінниця,Водоканал
Втрат води в мережах,"9250110,00",2020,Вінниця,Водоканал
"Дощових стоків, котрі проходять очистку","386,00",2020,Вінниця,Водоканал
"Каналізаційних стоків, котрі проходять очистку","23985918,00",2020,Вінниця,Водоканал
Годин без холодного водопостачання внаслідок аварій,"3,00",2020,Вінниця,Водоканал
