Транспорт,Кількість ТЗ,"Зареєстрованих автобусів / 
Зареєстрованих транспортних засобів",%,1,20,Зареєстрованих автобусів,Зареєстрованих транспортних засобів,GA-08,0,0
Транспорт,Кількість ТЗ,"Зареєстрованих мототранспортних засобів / 
Зареєстрованих транспортних засобів",%,1,1,Зареєстрованих мототранспортних засобів,Зареєстрованих транспортних засобів,GA-09,0,0
Транспорт,Споживання,"Використано палива за рік / 
Мешканців","кВт.год. / 
осіб",1,"-0,01",Використано палива за рік,Мешканців,GB-01,0,0
Транспорт,Споживання,"Використано бензину за рік / 
Мешканців","кВт.год. / 
осіб",1,1,Використано бензину за рік,Мешканців,GB-02,0,0
Транспорт,Споживання,"Використано дизпалива за рік / 
Мешканців","кВт.год. / 
осіб",1,-1,Використано дизпалива за рік,Мешканців,GB-03,0,0
Транспорт,Споживання,"Використано автомобільних газів за рік / 
Мешканців","кВт.год. / 
осіб",1,2,Використано автомобільних газів за рік,Мешканців,GB-04,0,0
Транспорт,Споживання,"Використано електроенергії транспортними засобами за рік / 
Мешканців","кВт.год. / 
осіб",1,10,Використано електроенергії транспортними засобами за рік,Мешканців,GB-05,0,0
Транспорт,Інфраструктура,"Кількість заправних та зарядних станцій / 
Транспортних засобів",%,2,1,Кількість заправних та зарядних станцій,Транспортних засобів,GC-01,0,0
Транспорт,Інфраструктура,"Кількість АЗС / 
Транспортних засобів із ДВЗ",%,2,1,Кількість АЗС,Транспортних засобів із ДВЗ,GC-02,0,0
Транспорт,Інфраструктура,"Кількість АГНКС / 
Транспортних засобів із ГБО",%,2,2,Кількість АГНКС,Транспортних засобів із ГБО,GC-03,0,0
Транспорт,Інфраструктура,"Кількість зарядних станцій для авто / 
Електромобілів",%,2,10,Кількість зарядних станцій для авто,Електромобілів,GC-04,0,0
Транспорт,Інфраструктура,"Кількість паркомісць (ознакованих, обладнаних, тощо) / 
Транспортних засобів",%,2,100,"Кількість паркомісць (ознакованих, обладнаних, тощо)",Транспортних засобів,GC-05,0,0
Транспорт,Інфраструктура,"Протяжність пішохідних вулиць / 
Протяжність доріг, проспектів та вулиць",%,2,200,Протяжність пішохідних вулиць,"Протяжність доріг, проспектів та вулиць",GC-06,0,0
Транспорт,Інфраструктура,"Протяжність пішохідних доріжок, хідників, тощо / 
Протяжність доріг, проспектів та вулиць",%,1,3,"Протяжність пішохідних доріжок, хідників, тощо","Протяжність доріг, проспектів та вулиць",GC-07,0,0
Транспорт,Інфраструктура,"Протяжність транспортної та пішохідної інфраструктури, пошкодженої або тимчасово недоступної через погодні умови / 
Протяжність транспортної та пішохідної інфраструктури",%,2,-800,"Протяжність транспортної та пішохідної інфраструктури, пошкодженої або тимчасово недоступної через погодні умови",Протяжність транспортної та пішохідної інфраструктури,GC-08,0,0
Транспорт,Громадський транспорт,"Пасажиро-кілометрів, виконаних громадським транспортом за рік / 
Мешканців","Пас.км. / 
осіб",1,3,"Пасажиро-кілометрів, виконаних громадським транспортом за рік",Мешканців,GD-01,0,0
Транспорт,Громадський транспорт,"Пасажиро-кілометрів, виконаних електричним громадським транспортом за рік / 
Пасажиро-кілометрів, виконаних усім громадським транспортом за рік",%,1,4,"Пасажиро-кілометрів, виконаних електричним громадським транспортом за рік","Пасажиро-кілометрів, виконаних усім громадським транспортом за рік",GD-02,0,0
Транспорт,Громадський транспорт,"Пасажиро-кілометрів, виконаних неелектричним громадським транспортом за рік / 
Пасажиро-кілометрів, виконаних усім громадським транспортом за рік",%,1,2,"Пасажиро-кілометрів, виконаних неелектричним громадським транспортом за рік","Пасажиро-кілометрів, виконаних усім громадським транспортом за рік",GD-03,0,0
Транспорт,Громадський транспорт,"Пасажиромісць в громадському транспорті із можливістю безготівкової оплати / 
Пасажиромісць в громадському транспорті",%,1,10,Пасажиромісць в громадському транспорті із можливістю безготівкової оплати,Пасажиромісць в громадському транспорті,GD-04,0,0
Транспорт,Громадський транспорт,"Протяжність доріг, проспектів та вулиць, забезпечених громадським транспортом / 
Протяжність доріг, проспектів та вулиць",%,1,10,"Протяжність доріг, проспектів та вулиць, забезпечених громадським транспортом","Протяжність доріг, проспектів та вулиць",GD-05,0,0
Транспорт,Громадський транспорт,"Середньозважена вартість разового проїзду громадським транспортом / 
Неоподатковуваний мінімум доходів громадян",%,1,-10,Середньозважена вартість разового проїзду громадським транспортом,Неоподатковуваний мінімум доходів громадян,GD-06,0,0
Транспорт,Велосектор,"Велодоріжок / 
Протяжність доріг, проспектів та вулиць",%,1,100,Велодоріжок,"Протяжність доріг, проспектів та вулиць",GE-01,0,0
Транспорт,Велосектор,"Велопаркомісць / 
Мешканців","Од. / 
тис.осіб",1,10,Велопаркомісць,Мешканців,GE-02,0,0
Транспорт,Велосектор,"Активних користувачів транспорту без ДВС (окрім електромобілів) / 
Мешканців",%,1,100,Активних користувачів транспорту без ДВС (окрім електромобілів),Мешканців,GE-03,0,0
Транспорт,Велосектор,"Транспорту без ДВС (окрім електромобілів), котрий здається напрокат / 
Мешканців","Од. / 
тис.осіб",1,5,"Транспорту без ДВС (окрім електромобілів), котрий здається напрокат",Мешканців,GE-04,0,0
Транспорт,Велосектор,"Обладнаних ""велопереїздів"" / 
Перетинів велодоріжок із проїжджою частиною",%,2,20,"Обладнаних ""велопереїздів""",Перетинів велодоріжок із проїжджою частиною,GE-05,0,0
Транспорт,Велосектор,"ДТП за участю велосипедистів / 
ДТП",%,2,-500,ДТП за участю велосипедистів,ДТП,GE-06,0,0
Транспорт,Велосектор,"Загиблих у ДТП велосипедистів / 
ДТП за участю велосипедистів",%,2,-900,Загиблих у ДТП велосипедистів,ДТП за участю велосипедистів,GE-07,0,0
Відходи,Охоплення,"Домогосподарств, яким надаються послуги поводження із побутовими відходами / 
Домогосподарств",%,1,10,"Домогосподарств, яким надаються послуги поводження із побутовими відходами",Домогосподарств,HA-01,0,0
Відходи,Охоплення,"Утворених побутових відходів / 
Мешканців","Кг. / 
осіб",1,-2,Утворених побутових відходів,Мешканців,HA-02,0,0
Відходи,Економіка,"Тариф на поводження з м3 побутових відходів / 
м3 побутових відходів","Грн. / 
м3",2,-5,Тариф на поводження з м3 побутових відходів,м3 побутових відходів,HB-01,0,1
Відходи,Економіка,"Використано пального сміттєвозами за рік / 
Обсяг захоронених відходів за рік","МВт.год. / 
тонн",2,-10,Використано пального сміттєвозами за рік,Обсяг захоронених відходів за рік,HB-02,0,0
Відходи,Економіка,"Відпрацьовано людино-годин на поводження із побутовими відходами за рік / 
Обсяг захоронених відходів за рік","Год. / 
тонн",1,-5,Відпрацьовано людино-годин на поводження із побутовими відходами за рік,Обсяг захоронених відходів за рік,HB-03,0,0
Відходи,Сортування й переробка,"Побутових відходів, сортованих на лініях / 
Всього побутових відходів за рік",%,1,10,"Побутових відходів, сортованих на лініях",Всього побутових відходів за рік,HC-01,0,0
