Показник,Значення,Рік,Громада,Джерело
Транспортних засобів,22385,2020,Сєвєродонецьк,Енергоменеджер
Транспортних засобів із ДВЗ,21276,2020,Сєвєродонецьк,Енергоменеджер
Транспортних засобів із ГБО,6181,2020,Сєвєродонецьк,Енергоменеджер
Електромобілів,73,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,546016017,2020,Сєвєродонецьк,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,509569226,2018,Сєвєродонецьк,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,519170891,2019,Сєвєродонецьк,Енергоменеджер
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,544143587,2020,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в дошкільних навчальних закладах протягом дня,4334,2018,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в загальноосвітніх та позашкільні навчальних закладах протягом дня,15664,2018,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в закладах охорони здоров'я протягом дня,1679,2018,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в спортивних закладах протягом дня,2089,2018,Сєвєродонецьк,Енергоменеджер
Опалювальна площа громадських будівель,211781,2018,Сєвєродонецьк,Енергоменеджер
Опалювальна площа дошкільних навчальних закладів,27373,2018,Сєвєродонецьк,Енергоменеджер
Опалювальна площа загальноосвітніх та позашкільних навчальних закладів,109668,2018,Сєвєродонецьк,Енергоменеджер
Опалювальна площа закладів охорони здоров'я,43811,2018,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в дошкільних навчальних закладах протягом дня,4266,2019,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в загальноосвітніх та позашкільні навчальних закладах протягом дня,15355,2019,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в закладах охорони здоров'я протягом дня,3032,2019,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в спортивних закладах протягом дня,2633,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа громадських будівель,245174,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа дошкільних навчальних закладів,30094,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа загальноосвітніх та позашкільних навчальних закладів,109668,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа закладів охорони здоров'я,70569,2019,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в дошкільних навчальних закладах протягом дня,4244,2020,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в загальноосвітніх та позашкільні навчальних закладах протягом дня,15586,2020,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в закладах охорони здоров'я протягом дня,3755,2020,Сєвєродонецьк,Енергоменеджер
Перебуває осіб в спортивних закладах протягом дня,2271,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа громадських будівель,245174,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа дошкільних навчальних закладів,30094,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа загальноосвітніх та позашкільних навчальних закладів,109668,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа закладів охорони здоров'я,70569,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа закладів культури,10535,2018,Сєвєродонецьк,Енергоменеджер
Опалювальна площа спортивних закладів,15106,2018,Сєвєродонецьк,Енергоменеджер
Опалювальна площа адміністративних та інших закладів,5288,2018,Сєвєродонецьк,Енергоменеджер
Опалювальна площа громадських будівель із централізованим теплопостачанням,122293,2018,Сєвєродонецьк,Енергоменеджер
Домогосподарств із електропостачанням,54382,2018,Сєвєродонецьк,Енергоменеджер
Домогосподарств із газопостачанням,52720,2018,Сєвєродонецьк,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,2231557,2018,Сєвєродонецьк,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,109465,2018,Сєвєродонецьк,Енергоменеджер
Опалювальна площа закладів культури,10535,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа спортивних закладів,19020,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа адміністративних та інших закладів,5288,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа громадських будівель із централізованим теплопостачанням,155413,2019,Сєвєродонецьк,Енергоменеджер
Домогосподарств із електропостачанням,54418,2019,Сєвєродонецьк,Енергоменеджер
Домогосподарств із газопостачанням,52757,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,2227936,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,111095,2019,Сєвєродонецьк,Енергоменеджер
Опалювальна площа закладів культури,10535,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа спортивних закладів,19020,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа адміністративних та інших закладів,5288,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа громадських будівель із централізованим теплопостачанням,155413,2020,Сєвєродонецьк,Енергоменеджер
Домогосподарств із електропостачанням,54449,2020,Сєвєродонецьк,Енергоменеджер
Домогосподарств із газопостачанням,52775,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,2222842,2020,Сєвєродонецьк,Енергоменеджер
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,112934,2020,Сєвєродонецьк,Енергоменеджер
Спожито електроенергії в житловому секторі,95360094,2018,Сєвєродонецьк,Обленерго
"Вся енергія, спожита в громаді",1350969673,2018,Сєвєродонецьк,Обленерго
"Вся електроенергія, спожита в громаді",280644220,2018,Сєвєродонецьк,Обленерго
Домогосподарств із електропостачанням,54382,2018,Сєвєродонецьк,Обленерго
"Енергія із ВДЕ, вироблена в громаді",63963,2019,Сєвєродонецьк,Обленерго
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)",63963,2019,Сєвєродонецьк,Обленерго
Спожито електроенергії в житловому секторі,93139647,2019,Сєвєродонецьк,Обленерго
"Вся енергія, спожита в громаді",1241400702,2019,Сєвєродонецьк,Обленерго
"Вся електроенергія, спожита в громаді",299856385,2019,Сєвєродонецьк,Обленерго
Домогосподарств із електропостачанням,54418,2019,Сєвєродонецьк,Обленерго
"Енергія із ВДЕ, вироблена в громаді",318534,2020,Сєвєродонецьк,Обленерго
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)",318534,2020,Сєвєродонецьк,Обленерго
Спожито електроенергії в житловому секторі,96799186,2020,Сєвєродонецьк,Обленерго
"Вся енергія, спожита в громаді",1400076808,2020,Сєвєродонецьк,Обленерго
"Вся електроенергія, спожита в громаді",470876964,2020,Сєвєродонецьк,Обленерго
Домогосподарств із електропостачанням,54449,2020,Сєвєродонецьк,Обленерго
Спожито енергії в багатоквартирних будинках з індивідуальним опаленням,682384,2018,Сєвєродонецьк,Облгаз
Спожито природного газу в житловому секторі,163036072,2018,Сєвєродонецьк,Облгаз
Домогосподарств із газопостачанням,52720,2018,Сєвєродонецьк,Облгаз
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,109465,2018,Сєвєродонецьк,Облгаз
Опалювальна площа багатоквартирних будинків з індивідуальним опаленням,28786,2018,Сєвєродонецьк,Облгаз
Спожито енергії в багатоквартирних будинках з індивідуальним опаленням,1284877,2019,Сєвєродонецьк,Облгаз
Спожито природного газу в житловому секторі,158013361,2019,Сєвєродонецьк,Облгаз
Домогосподарств із газопостачанням,52757,2019,Сєвєродонецьк,Облгаз
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,111095,2019,Сєвєродонецьк,Облгаз
Опалювальна площа багатоквартирних будинків з індивідуальним опаленням,29108,2019,Сєвєродонецьк,Облгаз
Спожито енергії в багатоквартирних будинках з індивідуальним опаленням,1150569,2020,Сєвєродонецьк,Облгаз
Спожито природного газу в житловому секторі,150831234,2020,Сєвєродонецьк,Облгаз
Домогосподарств із газопостачанням,52775,2020,Сєвєродонецьк,Облгаз
Опалювальна площа квартир в багатоквартирних будинках з індивідуальним опаленням,112934,2020,Сєвєродонецьк,Облгаз
Опалювальна площа багатоквартирних будинків з індивідуальним опаленням,30014,2020,Сєвєродонецьк,Облгаз
"Вся енергія, спожита в громаді",1350969673,2018,Сєвєродонецьк,Виробники електроенергії
"Вся електроенергія, спожита в громаді",280644220,2018,Сєвєродонецьк,Виробники електроенергії
"Енергія із ВДЕ, вироблена в громаді",63963,2019,Сєвєродонецьк,Виробники електроенергії
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)",63963,2019,Сєвєродонецьк,Виробники електроенергії
"Вся енергія, спожита в громаді",1241400702,2019,Сєвєродонецьк,Виробники електроенергії
"Вся електроенергія, спожита в громаді",299856385,2019,Сєвєродонецьк,Виробники електроенергії
"Енергія із ВДЕ, вироблена в громаді",318534,2020,Сєвєродонецьк,Виробники електроенергії
"Електроенергія із ВДЕ, вироблена в громаді (сонячна+вітрова+біомаси+гідро+геотермальна)",318534,2020,Сєвєродонецьк,Виробники електроенергії
"Вся енергія, спожита в громаді",1400076808,2020,Сєвєродонецьк,Виробники електроенергії
"Вся електроенергія, спожита в громаді",470876964,2020,Сєвєродонецьк,Виробники електроенергії
Спожито холодної води населенням,3137910,2020,Сєвєродонецьк,Водоканал
Реалізовано холодної води підприємствами водопостачання,3720150,2020,Сєвєродонецьк,Водоканал
Втрат води в мережах,1447330,2020,Сєвєродонецьк,Водоканал
Аварій в системі холодного водопостачання,69,2020,Сєвєродонецьк,Водоканал
Мереж водопостачання в аварійному стані,13.6,2020,Сєвєродонецьк,Водоканал
Аварій в системі водовідведення та каналізації,2,2020,Сєвєродонецьк,Водоканал
Мереж водовідведення та каналізації в аварійному стані,14.7,2020,Сєвєродонецьк,Водоканал
Домогосподарств із централізованим водопостачанням,1945,2020,Сєвєродонецьк,Водоканал
"Осіб, котрим надається водопостачання",10209,2020,Сєвєродонецьк,Водоканал
Спожито енергоресурсів підприємствами водопостачання,2778000,2020,Сєвєродонецьк,Водоканал
Каналізаційних стоків за рік,2916030,2020,Сєвєродонецьк,Водоканал
Мереж водопостачання,256.03,2020,Сєвєродонецьк,Водоканал
Мереж водовідведення та каналізації,154.7,2020,Сєвєродонецьк,Водоканал
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,331282876,2018,Сєвєродонецьк,Міськтеплоенерго
Спожито опалення від теплопостачальних підприємств,330397833,2018,Сєвєродонецьк,Міськтеплоенерго
Спожито енергії в багатоквартирних будинках із централізованим опаленням,380630996,2018,Сєвєродонецьк,Міськтеплоенерго
Спожито теплової енергії в житловому секторі,289082258,2018,Сєвєродонецьк,Міськтеплоенерго
"Вся енергія, спожита в громаді",1350969673,2018,Сєвєродонецьк,Міськтеплоенерго
"Вся теплова енергія, спожита в громаді",324389120,2018,Сєвєродонецьк,Міськтеплоенерго
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,511186959,2018,Сєвєродонецьк,Міськтеплоенерго
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,509569226,2018,Сєвєродонецьк,Міськтеплоенерго
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,2231557,2018,Сєвєродонецьк,Міськтеплоенерго
