Показник,Значення,Рік,Громада,Джерело
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,99198085,2018,Нововолинськ,Міськтеплоенерго
Спожито опалення від теплопостачальних підприємств,99198085,2018,Нововолинськ,Міськтеплоенерго
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,393535579,2018,Нововолинськ,Міськтеплоенерго
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,87141264,2019,Нововолинськ,Міськтеплоенерго
Спожито опалення від теплопостачальних підприємств,87141264,2019,Нововолинськ,Міськтеплоенерго
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,3991994,2019,Нововолинськ,Міськтеплоенерго
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,88018166,2020,Нововолинськ,Міськтеплоенерго
Спожито опалення від теплопостачальних підприємств,88018166,2020,Нововолинськ,Міськтеплоенерго
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,4008147,2020,Нововолинськ,Міськтеплоенерго
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,99198085,2018,Нововолинськ,Постачальні організації
Спожито опалення від теплопостачальних підприємств,85295,2018,Нововолинськ,Постачальні організації
Спожито теплової енергії в житловому секторі,78069864,2018,Нововолинськ,Постачальні організації
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,393535579,2018,Нововолинськ,Постачальні організації
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,393535579,2018,Нововолинськ,Постачальні організації
Спожито енергоресурсів підприємствами гарячого водопостачання саме на ГВП,743437.4,2018,Нововолинськ,Постачальні організації
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,87141264,2019,Нововолинськ,Постачальні організації
Спожито опалення від теплопостачальних підприємств,74928,2019,Нововолинськ,Постачальні організації
Спожито теплової енергії в житловому секторі,83308016,2019,Нововолинськ,Постачальні організації
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,3991994,2019,Нововолинськ,Постачальні організації
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,3991994,2019,Нововолинськ,Постачальні організації
Спожито енергоресурсів підприємствами гарячого водопостачання саме на ГВП,694084.5,2019,Нововолинськ,Постачальні організації
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,88018166,2020,Нововолинськ,Постачальні організації
Спожито опалення від теплопостачальних підприємств,75682,2020,Нововолинськ,Постачальні організації
Спожито теплової енергії в житловому секторі,71846651,2020,Нововолинськ,Постачальні організації
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,4008147,2020,Нововолинськ,Постачальні організації
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,4008147,2020,Нововолинськ,Постачальні організації
Спожито енергоресурсів підприємствами гарячого водопостачання саме на ГВП,658393.85,2020,Нововолинськ,Постачальні організації
"Протяжність освітлених доріг, проспектів та вулиць",128.9,2018,Нововолинськ,Відділ транспорту
Пішохідних переходів,10,2018,Нововолинськ,Відділ транспорту
Протяжність пішохідних вулиць,71.3,2018,Нововолинськ,Відділ транспорту
"Протяжність пішохідних доріжок, хідників, тощо",37.9,2018,Нововолинськ,Відділ транспорту
"Протяжність доріг, проспектів та вулиць, забезпечених громадським транспортом",175.7,2018,Нововолинськ,Відділ транспорту
"Протяжність доріг, проспектів та вулиць",92.1,2018,Нововолинськ,Відділ транспорту
Протяжність транспортної та пішохідної інфраструктури,62.5,2018,Нововолинськ,Відділ транспорту
Пасажиромісць в громадському транспорті,700,2018,Нововолинськ,Відділ транспорту
"Протяжність освітлених доріг, проспектів та вулиць",132.6,2019,Нововолинськ,Відділ транспорту
Пішохідних переходів,10,2019,Нововолинськ,Відділ транспорту
Протяжність пішохідних вулиць,71.3,2019,Нововолинськ,Відділ транспорту
"Протяжність пішохідних доріжок, хідників, тощо",37.9,2019,Нововолинськ,Відділ транспорту
"Протяжність доріг, проспектів та вулиць, забезпечених громадським транспортом",175.7,2019,Нововолинськ,Відділ транспорту
"Протяжність доріг, проспектів та вулиць",92.1,2019,Нововолинськ,Відділ транспорту
Протяжність транспортної та пішохідної інфраструктури,62.5,2019,Нововолинськ,Відділ транспорту
Пасажиромісць в громадському транспорті,700,2019,Нововолинськ,Відділ транспорту
"Протяжність освітлених доріг, проспектів та вулиць",136.4,2020,Нововолинськ,Відділ транспорту
Пішохідних переходів,10,2020,Нововолинськ,Відділ транспорту
Протяжність пішохідних вулиць,71.3,2020,Нововолинськ,Відділ транспорту
"Протяжність пішохідних доріжок, хідників, тощо",37.9,2020,Нововолинськ,Відділ транспорту
"Протяжність доріг, проспектів та вулиць, забезпечених громадським транспортом",175.7,2020,Нововолинськ,Відділ транспорту
"Протяжність доріг, проспектів та вулиць",92.1,2020,Нововолинськ,Відділ транспорту
Протяжність транспортної та пішохідної інфраструктури,62.5,2020,Нововолинськ,Відділ транспорту
Пасажиромісць в громадському транспорті,700,2020,Нововолинськ,Відділ транспорту
Площа зелених насаджень,308.9,2018,Нововолинськ,Відділ благоустрою
Площа відновлених та висаджених зелених насаджень за рік,5000,2018,Нововолинськ,Відділ благоустрою
"Площа масових насаджень дерев (парки, сквери, лісопарки, ліси, тощо)",90,2018,Нововолинськ,Відділ благоустрою
"Площа іншого озеленення (поодинокі дерева, кущі вздовж вулиць, газони, поля, луги тощо (без врахування с/г угідь))",218.9,2018,Нововолинськ,Відділ благоустрою
Протяжність облагороджених берегів водойм,1.5,2018,Нововолинськ,Відділ благоустрою
Сміттєвих урн,109,2018,Нововолинськ,Відділ благоустрою
"Протяжність освітлених доріг, проспектів та вулиць",128.9,2018,Нововолинськ,Відділ благоустрою
Пішохідних переходів,10,2018,Нововолинськ,Відділ благоустрою
Протяжність пішохідних вулиць,71.3,2018,Нововолинськ,Відділ благоустрою
"Протяжність пішохідних доріжок, хідників, тощо",37.9,2018,Нововолинськ,Відділ благоустрою
Протяжність берегової смуги,12,2018,Нововолинськ,Відділ благоустрою
"Протяжність доріг, проспектів та вулиць",92.1,2018,Нововолинськ,Відділ благоустрою
Протяжність транспортної та пішохідної інфраструктури,62.5,2018,Нововолинськ,Відділ благоустрою
Площа зелених насаджень,308.9,2019,Нововолинськ,Відділ благоустрою
Площа відновлених та висаджених зелених насаджень за рік,5000,2019,Нововолинськ,Відділ благоустрою
"Площа масових насаджень дерев (парки, сквери, лісопарки, ліси, тощо)",90,2019,Нововолинськ,Відділ благоустрою
"Площа іншого озеленення (поодинокі дерева, кущі вздовж вулиць, газони, поля, луги тощо (без врахування с/г угідь))",218.9,2019,Нововолинськ,Відділ благоустрою
Протяжність облагороджених берегів водойм,1.5,2019,Нововолинськ,Відділ благоустрою
Сміттєвих урн,140,2019,Нововолинськ,Відділ благоустрою
"Протяжність освітлених доріг, проспектів та вулиць",132.6,2019,Нововолинськ,Відділ благоустрою
Пішохідних переходів,10,2019,Нововолинськ,Відділ благоустрою
Протяжність пішохідних вулиць,71.3,2019,Нововолинськ,Відділ благоустрою
"Протяжність пішохідних доріжок, хідників, тощо",37.9,2019,Нововолинськ,Відділ благоустрою
Протяжність берегової смуги,12,2019,Нововолинськ,Відділ благоустрою
"Протяжність доріг, проспектів та вулиць",92.1,2019,Нововолинськ,Відділ благоустрою
Протяжність транспортної та пішохідної інфраструктури,62.5,2019,Нововолинськ,Відділ благоустрою
Площа зелених насаджень,308.9,2020,Нововолинськ,Відділ благоустрою
Площа відновлених та висаджених зелених насаджень за рік,5000,2020,Нововолинськ,Відділ благоустрою
"Площа масових насаджень дерев (парки, сквери, лісопарки, ліси, тощо)",90,2020,Нововолинськ,Відділ благоустрою
"Площа іншого озеленення (поодинокі дерева, кущі вздовж вулиць, газони, поля, луги тощо (без врахування с/г угідь))",218.9,2020,Нововолинськ,Відділ благоустрою
Протяжність облагороджених берегів водойм,1.5,2020,Нововолинськ,Відділ благоустрою
Сміттєвих урн,180,2020,Нововолинськ,Відділ благоустрою
"Протяжність освітлених доріг, проспектів та вулиць",136.4,2020,Нововолинськ,Відділ благоустрою
Пішохідних переходів,10,2020,Нововолинськ,Відділ благоустрою
Протяжність пішохідних вулиць,71.3,2020,Нововолинськ,Відділ благоустрою
"Протяжність пішохідних доріжок, хідників, тощо",37.9,2020,Нововолинськ,Відділ благоустрою
Протяжність берегової смуги,12,2020,Нововолинськ,Відділ благоустрою
"Протяжність доріг, проспектів та вулиць",92.1,2020,Нововолинськ,Відділ благоустрою
Протяжність транспортної та пішохідної інфраструктури,62.5,2020,Нововолинськ,Відділ благоустрою
Територія громади,75.3,2020,Нововолинськ,Відділ благоустрою
Видатки бюджету розвитку,25490.2,2018,Нововолинськ,Департамент фінансів
Доходи загального фонду,507639.5,2018,Нововолинськ,Департамент фінансів
Доходи спеціального фонду,31255.6,2018,Нововолинськ,Департамент фінансів
Доходи бюджету розвитку,7708.7,2018,Нововолинськ,Департамент фінансів
Неподаткові доходи,6280,2018,Нововолинськ,Департамент фінансів
Доходи від ПДФО в місцевий бюджет,94296.5,2018,Нововолинськ,Департамент фінансів
Доходи від акцизного податку в місцевий бюджет,16737,2018,Нововолинськ,Департамент фінансів
Доходи від плати за землю в місцевий бюджет,15204,2018,Нововолинськ,Департамент фінансів
Доходи від ЄП в місцевий бюджет,23777,2018,Нововолинськ,Департамент фінансів
Доходи від податку на нерухоме майно в місцевий бюджет,6775.7,2018,Нововолинськ,Департамент фінансів
Доходи від туристичного збору в місцевий бюджет,21.7,2018,Нововолинськ,Департамент фінансів
Видатки загального фонду,493227.6,2018,Нововолинськ,Департамент фінансів
Видатки спеціального фонду,51406.4,2018,Нововолинськ,Департамент фінансів
Видатки на освіту,143006.6,2018,Нововолинськ,Департамент фінансів
Видатки на охорону здоров'я,76328.9,2018,Нововолинськ,Департамент фінансів
Видатки на соціальний захист,206708.3,2018,Нововолинськ,Департамент фінансів
Видатки на ЖКГ,14877.2,2018,Нововолинськ,Департамент фінансів
Інші видатки,354.7,2018,Нововолинськ,Департамент фінансів
Видатки бюджету розвитку,40348.5,2019,Нововолинськ,Департамент фінансів
Доходи загального фонду,448523.3,2019,Нововолинськ,Департамент фінансів
Доходи спеціального фонду,27743.7,2019,Нововолинськ,Департамент фінансів
Доходи бюджету розвитку,12270,2019,Нововолинськ,Департамент фінансів
Неподаткові доходи,6398,2019,Нововолинськ,Департамент фінансів
Доходи від ПДФО в місцевий бюджет,113516.1,2019,Нововолинськ,Департамент фінансів
Доходи від акцизного податку в місцевий бюджет,15816.6,2019,Нововолинськ,Департамент фінансів
Доходи від плати за землю в місцевий бюджет,16009,2019,Нововолинськ,Департамент фінансів
Доходи від ЄП в місцевий бюджет,28198,2019,Нововолинськ,Департамент фінансів
